MATEMATIKA;BAHASA INDONESIA;BAHASA INGGRIS;IPA
96;87;66;88
88;79;61;66
77;69;99;85
91;98;64;99
85;85;62;94
63;81;99;92
88;71;69;61
86;99;59;75
77;77;87;85
100;98;58;100
61;81;87;78
67;73;88;79
81;86;70;97
70;69;96;78
95;65;69;98
67;71;77;92
76;89;97;87
96;72;97;84
81;67;98;91
92;91;71;92
82;99;83;62
87;97;90;85
69;98;99;97
91;83;86;79
72;94;63;90
86;81;97;74
96;73;77;77
77;67;58;80
79;89;63;66
96;76;85;98
92;73;57;62
78;83;78;91
81;78;87;85
86;65;76;92
98;70;79;77
83;95;99;70
86;73;64;81
90;69;67;93
60;78;67;84
64;78;85;60
70;82;85;64
87;78;74;87
65;83;99;91
63;86;75;82
88;66;74;97
98;71;64;61
81;74;78;74
93;77;78;76
85;68;90;71
96;100;60;88
62;93;75;84
97;65;62;79
64;81;95;70
65;94;84;94
99;73;69;92
85;95;86;61
93;92;57;81
80;68;72;61
68;69;60;92
82;70;63;94
92;87;72;81
94;88;65;92
89;84;74;89
89;67;78;61
80;65;95;61
90;78;71;60
62;76;66;67
97;73;98;65
97;70;82;70
99;78;75;94
66;81;87;69
69;84;55;92
74;99;99;70
72;71;97;66
74;78;100;68
61;78;61;80
84;94;62;84
74;100;75;97
89;78;89;72
86;85;83;80
63;85;78;68
89;93;80;60
97;65;81;96
94;98;84;73
91;100;89;83
60;72;95;79
61;95;67;93
77;68;55;95
75;66;71;61
80;86;99;84
100;95;89;89
73;70;77;93
70;79;85;82
100;98;75;98
100;83;99;96
73;96;70;85
85;99;82;98
77;94;69;91
80;85;89;61
62;99;86;99
100;70;85;72
96;68;60;85
76;83;80;72
70;74;96;76
80;72;82;89
67;79;60;93
66;86;90;94
63;77;91;81
84;79;56;95
89;86;88;84
87;94;68;95
77;80;61;74
79;93;96;68
75;88;58;90
89;66;88;88
60;70;70;81
77;70;91;62
67;70;91;71
89;78;67;73
64;95;87;80
99;90;69;81
60;98;75;87
81;67;69;82
79;89;68;69
76;78;79;75
90;69;84;93
99;96;87;93
74;76;63;86
84;74;85;89
68;89;86;98
99;88;56;79
88;86;83;73
94;96;66;61
86;90;87;70
82;87;84;69
82;78;67;62
74;69;67;80
90;67;61;76
97;85;75;83
71;97;69;100
91;74;85;63
67;65;56;80
77;67;67;91
63;69;88;92
86;81;90;64
65;91;98;83
71;94;66;99
100;90;63;84
89;98;73;74
75;92;82;73
94;73;69;73
79;72;98;82
89;97;66;67
87;89;86;88
72;67;78;74
97;68;70;67
80;69;61;60
77;72;71;64
61;68;96;99
88;92;86;72
71;92;66;95
94;89;85;72
61;87;60;82
75;92;78;66
71;83;97;82
65;81;86;76
90;90;73;67
63;98;71;89
74;100;62;96
60;90;82;76
79;83;57;99
95;91;79;62
64;81;76;79
86;79;63;85
90;97;82;61
99;100;73;68
82;67;69;74
84;87;68;96
60;97;73;61
95;83;62;70
93;66;97;89
84;70;94;99
71;98;73;63
95;93;57;64
71;66;89;93
79;76;78;88
98;94;85;83
72;65;78;73
73;99;89;85
64;95;97;83
100;78;56;69
65;83;82;72
73;99;87;63
96;72;92;74
86;78;87;66
85;68;97;93
81;83;99;75
60;68;60;60
71;94;79;71
62;96;80;90
78;67;63;68
91;82;84;89
79;92;92;91
60;73;90;83
74;68;91;85
87;75;88;64
98;79;62;81
73;78;59;85
100;83;81;81
61;91;82;98
60;78;62;80
96;67;86;73
80;73;61;80
81;94;82;69
93;79;96;89
79;75;88;66
89;97;90;63
83;90;86;67
86;78;70;76
63;84;74;75
87;100;61;83
60;92;89;91
98;92;86;87
92;82;57;80
60;95;81;63
70;91;75;71
91;70;86;83
74;65;71;95
60;100;73;97
70;93;96;94
69;69;68;84
68;87;76;63
87;72;59;86
86;69;88;80
84;78;98;61
78;78;71;69
89;68;98;76
72;77;79;63
76;81;95;90
67;83;95;62
75;97;90;68
97;97;99;62
100;88;80;74
62;89;90;90
89;75;74;76
68;85;93;79
77;78;64;79
81;69;61;67
60;83;64;64
68;93;77;98
62;78;91;62
83;96;83;99
73;75;76;88
96;92;55;79
81;81;68;77
69;75;75;80
88;70;93;88
81;94;69;91
99;87;56;89
73;98;89;85
72;82;67;97
74;80;60;92
87;70;70;79
89;98;97;98
61;91;87;98
70;79;72;97
98;70;100;99
85;98;70;62
89;78;98;65
68;80;85;86
94;83;76;98
82;84;94;84
94;75;92;74
68;70;65;82
96;95;100;72
65;81;68;78
97;76;64;64
61;69;64;86
71;68;69;79
87;85;93;94
67;83;98;98
71;65;66;90
98;95;68;79
67;67;79;79
73;89;70;99
63;75;100;64
89;71;84;78
85;74;92;78
95;93;81;79
69;81;59;89
98;65;72;87
88;68;67;69
81;98;97;94
76;92;94;97
72;73;97;89
76;100;85;67
81;69;62;96
99;88;95;62
76;96;65;68
91;94;92;62
85;95;68;60
91;98;74;72
74;68;90;87
72;80;83;80
90;87;75;67
65;68;91;74
92;97;94;86
69;90;66;96
90;76;86;71
82;81;63;89
81;92;64;71
79;71;68;83
65;77;86;61
92;79;69;99
100;88;62;70
87;99;80;88
91;98;65;67
80;67;62;90
85;69;86;93
82;77;87;72
72;84;58;78
76;81;81;90
69;90;83;63
79;82;69;65
92;74;76;68
100;73;81;79
72;88;81;61
84;72;99;92
71;92;80;67
65;77;82;71
93;99;56;70
99;74;85;75
71;76;73;73
85;91;96;87
75;94;72;93
91;73;99;83
83;71;73;61
84;80;81;66
81;75;72;61
95;77;75;99
100;77;78;66
98;66;87;62
67;96;92;85
73;73;94;93
93;79;87;70
100;85;71;84
82;66;66;72
85;83;93;85
96;74;67;68
99;82;97;70
61;81;63;80
63;86;92;67
64;73;72;77

